Name of Entity,Dates of Breach,Reported Date,Date(s) of Discovery of Breach,Date Notice Provided to Consumers,Link,State Reported,Source(s),Start Date of Breach,End Date of Breach
Colorado Bankers Life Insurance Company,3/28/2018 - 3/28/2018,2018-08-03 00:00:00,"Thursday, June 14, 2018
Wednesday, June 20, 2018",2018-08-03 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1297978657,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-03-28 00:00:00,2018-03-28 00:00:00
Canyon Rd. Chiropractic and Massage,6/30/2018 - 6/30/2018,2018-08-07 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-06-30 00:00:00,2018-06-30 00:00:00
RBC Wealth Management,,2018-08-09 00:00:00,2018-07-18 00:00:00,2018-08-08 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/163071707,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
Legacy Health,5/26/2018 - 5/26/2018,2018-08-21 00:00:00,2018-06-21 00:00:00,2018-08-20 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1175648405,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-26 00:00:00,2018-05-26 00:00:00
"Health Management Concepts, Inc.",7/19/2018 - 7/19/2018,2018-08-22 00:00:00,2018-07-19 00:00:00,2018-08-22 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/608194930,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-07-19 00:00:00,2018-07-19 00:00:00
Cheddar's Scratch Kitchen,11/3/2017 - 11/3/2017,2018-08-23 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-11-03 00:00:00,2017-11-03 00:00:00
LÍLLÉbaby,6/1/2016 - 6/1/2016,2018-08-29 00:00:00,2018-06-15 00:00:00,2018-08-28 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1620771628,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-06-01 00:00:00,2016-06-01 00:00:00
"Richard Owen Nursery, Inc.",9/29/2017 - 9/29/2017,2018-08-29 00:00:00,2018-08-06 00:00:00,2018-09-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1053318153,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-09-29 00:00:00,2017-09-29 00:00:00
Movement Mortgage LLC,10/9/2017 - 10/9/2017,2018-08-31 00:00:00,2018-08-01 00:00:00,2018-08-31 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/485864678,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-10-09 00:00:00,2017-10-09 00:00:00
"Peaceful Valley Farm Supply, Inc.",2/9/2018 - 2/9/2018,2018-09-12 00:00:00,2018-07-18 00:00:00,2018-09-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1498441376,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-09 00:00:00,2018-02-09 00:00:00
Tech Rabbit LLC,2/22/2017 - 2/22/2017,2018-09-19 00:00:00,2018-08-08 00:00:00,0001-01-01 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/930987901,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-02-22 00:00:00,2017-02-22 00:00:00
"Smith Freed & Eberhard, P.C.",7/26/2018 - 7/26/2018,2018-09-21 00:00:00,2018-08-17 00:00:00,2018-09-21 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/363534426,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-07-26 00:00:00,2018-07-26 00:00:00
"FirstGroup of America, Inc.",8/1/2015,2018-09-26 00:00:00,2018-08-15 00:00:00,2018-09-20 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1943564599,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-08-01 00:00:00,
"Northwest Surgical Specialists, P.C. d/b/a Rebound Orthopedics & Neurosurgery",5/22/2018,2018-10-05 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-22 00:00:00,
Cigna,9/5/2018 - 9/5/2018,2018-10-10 00:00:00,2018-09-05 00:00:00,2018-10-10 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/808657649,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-09-05 00:00:00,2018-09-05 00:00:00
Shein,6/1/2018 - 6/1/2018,2018-10-11 00:00:00,2018-08-08 00:00:00,2018-09-21 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/241204174,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-06-01 00:00:00,2018-06-01 00:00:00
Renaissance Philanthropic Solutions Group (“RenPSG”),6/5/2018 - 6/5/2018,2018-10-18 00:00:00,0001-01-01 00:00:00,2018-10-18 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1821234347,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-06-05 00:00:00,2018-06-05 00:00:00
Bankers Life,5/30/2018 - 5/30/2018,2018-10-25 00:00:00,2018-08-07 00:00:00,2018-10-25 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1253780872,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-30 00:00:00,2018-05-30 00:00:00
"GS1 US, Inc.",7/7/2017 - 7/7/2017,2018-10-25 00:00:00,2018-10-01 00:00:00,2018-10-25 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/686327397,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-07-07 00:00:00,2017-07-07 00:00:00
Burgerville LLC,8/29/2017 - 8/29/2017,2018-10-30 00:00:00,2018-09-19 00:00:00,2018-10-04 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/118873922,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-08-29 00:00:00,2017-08-29 00:00:00
Tillamook Chiropractic Clinic,5/24/2016 - 5/24/2016,2018-10-30 00:00:00,2018-08-03 00:00:00,2018-10-26 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1698904095,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-05-24 00:00:00,2016-05-24 00:00:00
"Nordstrom, Inc.",10/9/2018 - 10/9/2018,2018-11-05 00:00:00,2018-10-09 00:00:00,2018-11-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1131450620,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-10-09 00:00:00,2018-10-09 00:00:00
"Southwest Washington Regional Surgery Center, LLC",5/27/2018 - 5/27/2018,2018-11-06 00:00:00,2018-09-25 00:00:00,2018-11-06 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/563997145,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-27 00:00:00,2018-05-27 00:00:00
"Title Nine Sports, Inc.",12/28/2017 - 12/28/2017,2018-11-12 00:00:00,2018-10-25 00:00:00,2018-11-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/2144027318,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-12-28 00:00:00,2017-12-28 00:00:00
Pharmacy Times Office of Continuing Professional Education (“PTCE”),7/6/2018 - 7/6/2018,2018-11-13 00:00:00,2018-09-17 00:00:00,2018-11-13 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1576573843,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-07-06 00:00:00,2018-07-06 00:00:00
"Stein Mart, Inc.",12/28/2017 - 12/28/2017,2018-11-13 00:00:00,2018-10-25 00:00:00,2018-11-13 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1009120368,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-12-28 00:00:00,2017-12-28 00:00:00
Newegg Inc.,8/13/2018 - 8/13/2018,2018-11-15 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-08-13 00:00:00,2018-08-13 00:00:00
"HealthEquity, Inc.",9/4/2018 - 9/4/2018,2018-11-15 00:00:00,2018-10-05 00:00:00,2018-11-15 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/2021697066,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-09-04 00:00:00,2018-09-04 00:00:00
LPL Financial LLC,11/1/2018,2018-11-17 00:00:00,2018-11-01 00:00:00,2018-11-17 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1331913339,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-11-01 00:00:00,
The Hanover INsurance Company and its subsidiary and affiliate insurance companies,3/16/2018 - 3/16/2018,2018-11-19 00:00:00,2018-08-30 00:00:00,2018-11-19 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/764459864,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-03-16 00:00:00,2018-03-16 00:00:00
Francesca’s Services Corporation,12/28/2017 - 12/28/2017,2018-11-19 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-12-28 00:00:00,2017-12-28 00:00:00
R.R. Bowker LLC,5/1/2018 - 5/1/2018,2018-11-20 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-01 00:00:00,2018-05-01 00:00:00
British Airways Plc,"4/21/2018 - 4/21/2018, 8/21/2018 - 8/21/2018",2018-11-21 00:00:00,2018-09-05 00:00:00,"Friday, September 7, 2018
Thursday, October 25, 2018",https://justice.oregon.gov/consumer/DataBreach/Home/Details/1209583087,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-04-21 00:00:00,2018-08-21 00:00:00
Atrium Health (formerly Carolinas HealthCare System),9/22/2018 - 9/22/2018,2018-11-27 00:00:00,2018-10-01 00:00:00,2018-11-27 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/642129612,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-09-22 00:00:00,2018-09-22 00:00:00
Family Tree Relief Nursery,"11/26/2016 - 11/26/2016, 6/1/2018 - 6/1/2018",2018-11-27 00:00:00,2018-08-22 00:00:00,"Friday, October 26, 2018
Friday, November 16, 2018",https://justice.oregon.gov/consumer/DataBreach/Home/Details/74676137,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-11-26 00:00:00,2018-06-01 00:00:00
"Marriott International, Inc.",4/15/2014 - 4/15/2014,2018-11-30 00:00:00,2018-11-19 00:00:00,2018-11-30 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1087252835,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2014-04-15 00:00:00,2014-04-15 00:00:00
Cancer Treatment Centers of America,5/2/2018 - 5/2/2018,2018-11-30 00:00:00,2018-09-26 00:00:00,2018-11-26 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/519799360,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-02 00:00:00,2018-05-02 00:00:00
AerServ,,2018-12-02 00:00:00,2018-06-12 00:00:00,,https://justice.oregon.gov/consumer/DataBreach/Home/Details/2099829533,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
"U.S. Bancorp Investments, Inc",11/1/2018 - 11/1/2018,2018-12-05 00:00:00,2018-11-06 00:00:00,2018-11-26 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1532376058,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-11-01 00:00:00,2018-11-01 00:00:00
San Diego Hardware,2/5/2018 - 2/5/2018,2018-12-05 00:00:00,2018-10-15 00:00:00,2018-12-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/964922583,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-05 00:00:00,2018-02-05 00:00:00
"Thesy, LLC",12/6/2017 - 12/6/2017,2018-12-05 00:00:00,2018-09-20 00:00:00,2018-11-02 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/397469108,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-12-06 00:00:00,2017-12-06 00:00:00
Titan Manufacturing and Distributing Inc.,"5/22/2018, 10/25/2018",2018-12-07 00:00:00,"Wednesday, May 2, 2018
Thursday, October 25, 2018",2018-12-07 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1977499281,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-22 00:00:00, 10/25/2018
Springstone Financial,7/27/2018 - 7/27/2018,2018-12-14 00:00:00,2018-09-04 00:00:00,2018-12-14 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1410045806,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-07-27 00:00:00,2018-07-27 00:00:00
Hammer Nutrition,1/1/2018 - 1/1/2018,2018-12-21 00:00:00,,2018-12-14 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/892253878,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-01-01 00:00:00,2018-01-01 00:00:00
"BEL USA, LLC through its website DiscountMugs.com",8/5/2018 - 8/5/2018,2018-12-26 00:00:00,2018-12-20 00:00:00,2018-12-31 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/324800403,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-08-05 00:00:00,2018-08-05 00:00:00
Warby Parker,9/25/2018 - 9/25/2018,2018-12-27 00:00:00,2018-11-26 00:00:00,2018-12-20 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1904830576,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-09-25 00:00:00,2018-09-25 00:00:00
"Aimbridge Hospitality Holdings, LLC",6/7/2018 - 9/24/2018,2018-12-31 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-06-07 00:00:00,2018-09-24 00:00:00
Housing Authority Of The City Of Salem,11/20/2018 - 11/20/2018,2018-12-31 00:00:00,2018-11-30 00:00:00,2018-12-28 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/769923626,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-11-20 00:00:00,2018-11-20 00:00:00
"A&A Global Imports, Inc.",,2019-01-14 00:00:00,,2019-01-09 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/202470151,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
Pharmaca Integrative Pharmacy Inc.,7/19/2018 - 12/12/2018,2019-01-18 00:00:00,"Thursday, December 6, 2018
Wednesday, December 19, 2018",,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1782500324,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-07-19 00:00:00,2018-12-12 00:00:00
"Image-I-Nation Technologies, Inc.",11/1/2018 - 11/15/2018,2019-02-04 00:00:00,2018-12-20 00:00:00,2019-02-08 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/647593374,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-11-01 00:00:00,2018-11-15 00:00:00
Truluck’s Restaurant Group,11/4/2018 - 12/8/2018,2019-02-12 00:00:00,2018-12-19 00:00:00,2019-02-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/80139899,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-11-04 00:00:00,2018-12-08 00:00:00
"Breach at: Pairprep, Inc. Data Owned by: Stanwich Mortgage Loan Trust A, C, and D",2/1/2018 - 1/15/2019,2019-02-12 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-01 00:00:00,2019-01-15 00:00:00
North 40 Outfitters,2/2/2018 - 11/20/2018,2019-02-14 00:00:00,"Wednesday, January 10, 2018
Monday, January 29, 2018",2018-02-23 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/175151341,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-02 00:00:00,2018-11-20 00:00:00
North 40 Outfitters,2/2/2018 - 11/20/2018,2019-02-14 00:00:00,"Thursday, November 8, 2018
Thursday, January 3, 2019",2019-02-14 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1092716597,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-02 00:00:00,2018-11-20 00:00:00
"North Country Business Products, Inc.",1/3/2019 - 1/24/2019,2019-02-15 00:00:00,2019-01-30 00:00:00,2019-02-15 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/525263122,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2019-01-03 00:00:00,2019-01-24 00:00:00
Armor Games Inc.,1/1/2019,2019-02-25 00:00:00,2019-01-29 00:00:00,2019-02-25 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/2105293295,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2019-01-01 00:00:00,
University of Washington Medicine,12/4/2018 - 1/10/2019,2019-02-25 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-12-04 00:00:00,2019-01-10 00:00:00
"RSC Insurance Brokerage, Inc.",8/23/2018 - 8/23/2018,2019-03-01 00:00:00,"Monday, December 17, 2018
Tuesday, January 22, 2019",2019-03-01 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/970386345,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-08-23 00:00:00,2018-08-23 00:00:00
ABM Industries Incorporated,1/8/2018 - 8/7/2018,2019-03-12 00:00:00,"Tuesday, August 1, 2017
Tuesday, October 17, 2017",2017-11-13 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/465826161,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-01-08 00:00:00,2018-08-07 00:00:00
ABM Industries Incorporated,1/8/2018 - 8/7/2018,2019-03-12 00:00:00,0001-01-01 00:00:00,2019-03-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/402932870,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-01-08 00:00:00,2018-08-07 00:00:00
"flexPATH Strategies, LLC",12/7/2018 - 12/7/2018,2019-03-15 00:00:00,2019-02-22 00:00:00,2019-03-15 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1982963043,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-12-07 00:00:00,2018-12-07 00:00:00
Providence Health Plan,8/23/2018 - 8/23/2018,2019-03-19 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-08-23 00:00:00,2018-08-23 00:00:00
"Warn Industries, Inc.",2/28/2018 - 1/7/2019,2019-03-22 00:00:00,2019-01-07 00:00:00,2019-03-22 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/848056093,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-28 00:00:00,2019-01-07 00:00:00
Earl Enterprises,5/23/2018 - 3/18/2019,2019-03-29 00:00:00,2019-02-23 00:00:00,2019-03-29 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/280602618,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-23 00:00:00,2019-03-18 00:00:00
Columbia Forest Products,9/8/2018 - 11/13/2018,2019-03-29 00:00:00,2018-10-22 00:00:00,2019-03-29 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1860632791,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-09-08 00:00:00,2018-11-13 00:00:00
"Key West Hotels, LLC",2/7/2018 - 12/31/2018,2019-04-02 00:00:00,2019-03-08 00:00:00,2019-04-02 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/725725841,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-07 00:00:00,2018-12-31 00:00:00
Oregon Endodontic Group,11/9/2018 - 11/26/2018,2019-04-02 00:00:00,2019-02-11 00:00:00,2019-04-02 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/158272366,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-11-09 00:00:00,2018-11-26 00:00:00
AeroGrow International,10/29/2018 - 3/4/2019,2019-04-04 00:00:00,2019-03-04 00:00:00,2019-04-04 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1170849064,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-10-29 00:00:00,2019-03-04 00:00:00
New Bit Ventures Ltd. (owner of Coinmama.com),12/9/2018 - 12/12/2018,2019-04-09 00:00:00,2019-02-17 00:00:00,2019-02-20 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/603395589,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-12-09 00:00:00,2018-12-12 00:00:00
Clearway Pain Solutions Institute,2/20/2019,2019-04-11 00:00:00,2019-02-20 00:00:00,2019-04-04 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/35942114,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2019-02-20 00:00:00,
RS Medical,2/11/2019 - 2/12/2019,2019-04-11 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2019-02-11 00:00:00,2019-02-12 00:00:00
T-Mobile / Experian,9/15/2015,2015-10-30 00:00:00,2015-09-15 00:00:00,2015-09-21 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1658162640,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-09-15 00:00:00,
Accuform Manufacturing Inc,6/30/2015,2015-11-03 00:00:00,2015-09-21 00:00:00,2015-10-19 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1090709165,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-06-30 00:00:00,
"HSBC Bank USA, National Association",12/7/2015 - 12/8/2015,2016-01-14 00:00:00,2015-12-10 00:00:00,2016-01-11 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/968378913,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-12-07 00:00:00,2015-12-08 00:00:00
"Landry’s, Inc., Golden Nugget Atlantic City, LLC, Golden Nugget Lake Charles, LLC, GNL Corp., GNLV C","5/4/2014 - 3/15/2015, 5/5/2015 - 12/3/2015",2016-01-29 00:00:00,2015-12-03 00:00:00,2016-01-29 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/400925438,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2014-05-04 00:00:00,2015-12-03 00:00:00
"Gyft, Inc.",10/3/2015 - 12/18/2015,2016-02-05 00:00:00,,2016-02-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1980955611,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-10-03 00:00:00,2015-12-18 00:00:00
Bay Area Chiropractic Center LLC,6/1/2015 - 8/31/2015,2016-02-23 00:00:00,2015-12-10 00:00:00,2015-12-22 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/846048661,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-06-01 00:00:00,2015-08-31 00:00:00
JB AUTOSPORTS INC,8/1/2015 - 11/9/2015,2016-03-02 00:00:00,,2016-01-08 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/278595186,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-08-01 00:00:00,2015-11-09 00:00:00
Baileys,9/25/2015 - 1/13/2016,2016-03-02 00:00:00,2016-01-11 00:00:00,,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1858625359,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-09-25 00:00:00,2016-01-13 00:00:00
"Wynden Stark, dba GQR Global Markets/City Internships",4/1/2016,2016-04-08 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-04-01 00:00:00,
"Schwaab, Inc.","1/22/2014, 8/21/2015, 11/30/2015, 2/4/2016",2016-04-11 00:00:00,2016-03-04 00:00:00,2016-04-11 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/723718409,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2014-01-22 00:00:00, 2/4/2016
Advance Auto Parts,3/7/2016,2016-04-14 00:00:00,,2016-03-16 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/156264934,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-03-07 00:00:00,
"Advanced International Marketing, Inc.",4/4/2016,2016-04-26 00:00:00,2016-04-04 00:00:00,2016-04-26 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1736295107,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-04-04 00:00:00,
Michels Corporation,4/16/2016,2016-04-27 00:00:00,2016-04-18 00:00:00,2016-04-27 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1168841632,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-04-16 00:00:00,
ProSchools,2/4/2016 - 3/16/2016,2016-05-02 00:00:00,,2016-04-15 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/601388157,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-02-04 00:00:00,2016-03-16 00:00:00
DOTERRA INTERNATIONAL LLC,3/1/2016,2016-05-02 00:00:00,,2016-04-18 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/33934682,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-03-01 00:00:00,
EqualizeRCM Systems,2/26/2016,2016-05-06 00:00:00,2016-02-29 00:00:00,2016-04-28 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1613964855,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-02-26 00:00:00,
"Puppet, Inc.",3/1/2016,2016-05-09 00:00:00,2016-04-13 00:00:00,2016-04-27 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1046511380,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-03-01 00:00:00,
"Hi-Tec Sports USA, Inc.",1/24/2016,2016-05-11 00:00:00,2016-03-11 00:00:00,"Friday, April 29, 2016
Wednesday, May 11, 2016",https://justice.oregon.gov/consumer/DataBreach/Home/Details/479057905,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-01-24 00:00:00,
Flurish Inc. dba LendUp,6/21/2012,2016-05-16 00:00:00,2016-04-01 00:00:00,2016-05-11 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/528719452,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2012-06-21 00:00:00,
Certifikid,1/25/2016 - 3/19/2016,2016-05-27 00:00:00,2016-03-25 00:00:00,2016-05-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/2108749625,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-01-25 00:00:00,2016-03-19 00:00:00
The Kroger Co,1/31/2016,2016-05-27 00:00:00,2016-04-27 00:00:00,"Tuesday, May 3, 2016
Thursday, May 5, 2016
Wednesday, May 25, 2016",https://justice.oregon.gov/consumer/DataBreach/Home/Details/1541296150,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-01-31 00:00:00,
Acer Service Corporation,5/12/2015,2016-06-14 00:00:00,2016-04-26 00:00:00,2016-06-03 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/973842675,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-05-12 00:00:00,
