Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Type,Individuals Affected,Name of Entity,Type of Breach,State Reported
Name or other personal identifier in combination with SSN,2018-09-28 00:00:00,,7/5/18 (discovered 8/6/28),,4(in Maine,"AEI Fund Management, Inc., 1300 Wells Fargo Place, 30 East Seventh Street, St. Paul, MN 55101",,Maine
Name and financial account numbers,2018-09-28 00:00:00,,2018-08-22 00:00:00,,7(in Maine,"Wintrust Financial Corporation, 9700 W. Higgins Road, Rosemont, IL 60018",,Maine
"Name, email address, shipping address, Chegg username, and hashed Chegg password",2018-09-26 00:00:00,,"On or around April 29, 2018",,75000(in Maine,"Chegg, Inc., 3990 Freedom Circle, Santa Clara, CA  95054",,Maine
"Name or other personal identifier in combination with driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with security code, access code password or PIN for the account",2018-09-24 00:00:00,,10/25/17-4/25/18 (discovered 8/22/18),,2(in Maine,"Protravel International LLC, 515 Madison Avenue, 10 Floor, New York, NY",,Maine
"Name, payment card information (card #, exp date and security code) as well aswebsite username and password.",2018-09-21 00:00:00,,7/17/18 to 7/20/18,,15(in Maine,"Plant Therapy, Twin Falls, Idaho",,Maine
Name or other personal identifier in combination with SSN,2018-09-19 00:00:00,,11/1/2017 (discovered 3/28u/18),,19(in Maine,"The Affiliated Group, 7381 Airport View Drive SW, Rochester, MN 55902",,Maine
"Unsure, but may have been name, address, SSN and driver's license no.",2018-09-18 00:00:00,,Discovered 8/20/18,,3(in Maine,"Performance Food Group, Inc.",,Maine
Name or other personal identifier in combination with SSN,2018-09-21 00:00:00,,2018-07-24 00:00:00,,27(in Maine,"YRC Worldwide Inc., 10990 Roe Ave, Overland, Park, KS 66211",,Maine
Name or other personal identifier in combination with SSN,2018-09-19 00:00:00,,2/1/18 (discovered 8/13/18),,1(in Maine,"Tauck, Inc., 10 Westport Road, Wilton, CT 06897",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with security code, access code password or PIN for the account",2018-09-19 00:00:00,,2/22/17-5/22/18 (discovered 8/8/18),,139(in Maine,"Tech Rabbit LLC, 601 Lehigh Ave, Union, NJ 07083",,Maine
Discover Card account information,2018-09-17 00:00:00,,2018-08-01 00:00:00,,3(in Maine,Arby's ,,Maine
Discover Card account information,2018-09-17 00:00:00,,2018-08-01 00:00:00,,3(in Maine,Automated Pet Care Products,,Maine
Discover Card account information,2018-09-17 00:00:00,,2018-08-01 00:00:00,,1(in Maine,Braintree PSP,,Maine
Discover Card account information,2018-09-17 00:00:00,,2018-08-01 00:00:00,,22(in Maine,Rainbow Resource Center,,Maine
Name or other personal identifier in combination with SSN,2018-09-14 00:00:00,,10/21/17 (discovered 8/6/18),,1(in Maine,"Garvey Schubert Barer, P.C., 1191 Second Avenue, Suite 1800, Seattle, WA 98101-2939",,Maine
"Name or other personal identifier in combination with financial account (Aeroplan frequent flyer acct #) number or credit or debit card number, in combination with the security code, access code, password, or PIN  ",2018-09-14 00:00:00,,2018-08-22 00:00:00,,2(in Maine,"Air Canada, ZIP 1276, 730 boul, Cote Vertu West, Dorval, QC H4S 1Y9",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN  ",2018-09-11 00:00:00,,2/9-8/22/18,,106(in Maine,"Peaceful Valley Farm Supply, 125 Clydesdale Ct, Grass Valley, CA 95945",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN ",2018-09-10 00:00:00,,2018-04-01 00:00:00,,97(in Maine,"Roadrunner Transportation Systems, Inc., 1431 Opus Place, Suite 530; Downers Grove, IL 60515",,Maine
"Name, address, SSN and/or financial account information",2018-09-07 00:00:00,,"Discovered August 1, 2018",,35(in Maine,"Nardella & Taylor, LLP",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-09-07 00:00:00,,5/19/18 -  7/9 /18 (discovered 8/6/18),,1(in Maine,"Stein Mart, Inc., 1200 Riverplace Blvd., Jacksonville, Florida 32207",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-09-07 00:00:00,,5/19/18 - 7/9/18 (discovered 8/6/18),,8(in Maine,"Title Nine, 6201 Doyle Street, Emeryville, California, 94608",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-09-06 00:00:00,,2018-07-30 00:00:00,,5(in Maine,"Sanibel Captiva Trust Company, 2460 Palm Ridge Road, Sanibel, FL 33957",,Maine
s,2018-09-06 00:00:00,,s,,4(in Maine,"ECS Tuning, 1000 Seville Road, Wadsworth, OH  44281",,Maine
Name or other personal identifier in combination with SSN,2018-09-04 00:00:00,,2018-08-30 00:00:00,,31(in Maine,"Kyocera Document Solutions New England, Inc., One Jewel Drive, Wilmington, MA 018878",,Maine
Name or other personal identifier in combination with SSN,2018-09-04 00:00:00,,2/7/18 - 3/27/18 (discovered 6/27/18),,1(in Maine,"North American Risk Services, Inc., PO Box 166002, Altamonte Springs, FL 32716-6002",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver ID number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-08-31 00:00:00,,10/9/17-3/29/18 (discovered 8/1/18),,7(in Maine,"Movement Mortgage, LLC, 8024 Calvin Hall Road, Indian Land, SC 29707",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account",2018-08-31 00:00:00,,9/27/14 - 2/25/15,,175(in Maine,"Bombas LLC, 37 E 18th St. 4th Floor, New York, NY 10003",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account",2018-08-30 00:00:00,,9/29/17 (discovered Aug 2018),,113(in Maine,"Richard Owen Nursery, Inc., P.O. Box 2999, Bloomington, IL 61702",,Maine
Name or other personal identifier in combination with SSN,2018-08-30 00:00:00,,4/4/2018 - 5/4/18 (discovered 7/9/18),,8(in Maine,"Garretson Resolution Group, Inc., 6281 Tri-Ridge Boulevard, Suite 300, Cincinnati, Ohio 45140",,Maine
Credit card information,2018-08-29 00:00:00,,"May 28, 2018 (approx) to July 22, 2018",,9(in Maine,Surefire,,Maine
"Name, address, email address, credit card account number, credit card exp date, credit card CVV2 number, and Sierra Nevada account username and password",2018-08-29 00:00:00,,Discovered 8/7/18,,4(in Maine,Sierra Nevada Brewing Co.,,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-08-29 00:00:00,,6/1/2016 (discovered 6/15/18),,173(in Maine,"LILLEbaby, 700 12th Street, Suite 220, Golden, CO 80401",,Maine
Name,2018-08-28 00:00:00,,4/3/2018 (discovered 5/23-24/18) ,,1(in Maine,"NorthStar Anesthesia, 6225 State Highway 161, #200, Irving, TX 75038",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combinoation with the security code, access code, password, or PIN for the account",2018-08-28 00:00:00,,10/2/2017 (discovered 7/25/18),,18(in Maine,"Orrstown Bank, 77 East King Street, Shippensburg, PA 17257",,Maine
"Medical, dental and vision claims including provider name, dates of service, charge and paid amounts; spending account information such as health saving aaccount spending & balance info, wellness info including biometric screeding information",2018-08-27 00:00:00,,2018-08-17 00:00:00,,2(in Maine,"Humana Inc, 500 W Main Street, Louisville, KY 40202",,Maine
Name or other personal identifier in combination with SSN,2018-08-27 00:00:00,,Unknown (Discovered 7/24/18),,1(in Maine,"Ameriprise Financial Inc., 707 2nd Ave S, Minneapolis, MN 55474",,Maine
"Name, SSs and Employer ID numbers",2018-08-27 00:00:00,,Informed of breach on 8/6/18,,65(in Maine,"Maine Savings Federal Credit Union, P.O. Box 347, Hampden, ME 04444",,Maine
"Name, phone number, email address, and Charms username and password for 7 Maine residents",Rec'd 8/28/18,,Discovered on 7/31/18,,7(in Maine,"Dorian Business Systems, LLC",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver ID card number,2018-08-23 00:00:00,,2018-06-08 00:00:00,,14(in Maine,"REEB Millwork Corporation, 1000 Maloney Circle, Bethlehem, PA 18015",,Maine
Name or other personal identifier in combination with SSN,2018-08-22 00:00:00,,2018-07-19 00:00:00,,25(in Maine,"Health Management Concepts Inc., 181 Commodore Drive, Jupiter, FL 33477",,Maine
Payment card numbers ,2018-08-22 00:00:00,,11/3/17-1/2/18,,Unknown(in Maine,Cheddars Scratch Kitchen (Cheddar's),,Maine
"Name, payment card number, exp date & security code",2018-08-21 00:00:00,,7/21/18-8/8/18,,2(in Maine,"Munro & Company, 3770 Malvern Road, Hot Springs, AR  71901",,Maine
Name or other personal identifier in combination with SSN,2018-08-17 00:00:00,,6/25/18 (discovered 8/6/18),,40590(in Maine,"Eastern Maine Community College, 354 Hogan Road, Bangor, ME  (Notice of Possible Breach)",,Maine
"Name, username (email address), hashed and salted passwords, geolocation, gender, and birthdate",2018-08-16 00:00:00,,2018-07-10 00:00:00,,8642(in Maine,"Animoto Inc., 333 Kearny Street, 6th Floor, San Francisco, CA 94108",,Maine
Discover Card account information,2018-08-15 00:00:00,,2018-07-01 00:00:00,,10(in Maine,Tommie Copper Mount Kisco,,Maine
Discover Card account information,2018-08-15 00:00:00,,2018-07-01 00:00:00,,6(in Maine,wwwtommiecoppercomMt.Kisco,,Maine
Name and SSN,2018-08-14 00:00:00,,Follow up to 7/23/18 notice,,1 Additional(in Maine,Thomas Chandler Thomas & Hinshaw LLP,,Maine
"Contact information, financial information (i.e. account number); email communications; government identification; and possibly corporate or organizational records containing personal information.",2018-08-14 00:00:00,,Discovered 8/7/18,,2(in Maine,"Concept Title Services, Inc., 2950 SW 27th Avenue, Suite 210, Miami, Florida 33133",,Maine
"Name, physical and/or billing address, credit card number, exp date and CVV number (and may have included gender, birthdate, phone number and email address)",Rec'd 8/13/18 ,,Informed of breach on 7/13/18,,2(in Maine,Bank of America,,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2018-08-10 00:00:00,,9/15-18/17,,2(in Maine,"Hasbro, Inc., 1027 Newport Ave, Pawtucket, RI 02861",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-08-06 00:00:00,,11/21/2017 (discovered 6/20/18),,Unknown (notification to customers thru sign in Entrance)(in Maine,"Gridiron Inc, 1567 Lisbon Street, Lewiston, Maine 04240",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2018-08-03 00:00:00,,Unknown (discovered 5/10/18),,Approx 17(in Maine,"North Amercian Power & Gas, LLC, 20 Glover Ave., Norwak, CT  06580",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-08-02 00:00:00,,7/5/18-7/9/18 ,,17(in Maine,"American Express Travel Related Services, Company, General Counsel's Office, 200 Vesey Street, NY, NY 10285",,Maine
"Payment card information including name, card number, exp date and security code",8/1/18 and follow up to 3/27/18 breach notice,,2/22/17 - 3/5/18; 5/18/18-5/20/18; 7/5/18 at aprox 11 AM to 7/6/18 approx 2:00 PM,,2 additional(in Maine,Manduka,,Maine
"Name, card number, exp date and security code",2018-07-30 00:00:00,,"3/29/18 to May 11, 2018",,Approx. 77(in Maine,Plant Therapy,,Maine
"Name, account number and taxpayer or employer ID number",2018-07-30 00:00:00,,6/28-7/5/18,,1(in Maine,Bank of Hope,,Maine
Name or other personal identifier in combination with SSN,2008-07-30 00:00:00,,2018-07-17 00:00:00,,4(in Maine,"Loyola University of Chicago, 820 N. Michigan Avenue, Chicago, IL 60611",,Maine
See July 10th notice,2018-07-27 00:00:00,,Addendum to 7/10/18 breach notice,,66 (12 more than originally stated)(in Maine,"MedEvolve, 115 W 3rd Street, Little Rock, AR 72201",,Maine
"Potentially Name, SSN, birthdate, Yale e-mail addres and, in some cases, physical addresses.",2018-07-27 00:00:00,,April 20089 - January 2009 (discovered 6/16/18),,557(in Maine,"Yale (Office of the VP & General Counsel) PO Box 208255, New Haven, CT 06520-8255",,Maine
Name or other personal identifier in combination with SSN,2018-07-26 00:00:00,,2018-02-09 00:00:00,,2(in Maine,"Concannon Miller & Co. P.C., 1525 Valley Center Parkway, Suite 300, Bethlehem, PA 18017",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2018-07-25 00:00:00,,5/9/18 - 6/11/18,,137(in Maine,"ABM Mechanical, Inc., 33 Dowd Road, Unit 1, Bangor, ME  04401",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-07-25 00:00:00,,11/9/17-11/30/17,,8(in Maine,"Automated Pet Care Products, Inc., 2900 Auburn Court, Auburn Hills, MI 48326",,Maine
"Name or other personal identifier in combination with SSN & financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-07-25 00:00:00,,2018-06-10 00:00:00,,11(in Maine,"Eastern Maine Healthcare Systems (EMHS), 43 Whiting Hill Road, Brewer, ME 04412",,Maine
"Name or other personal identifier in combination with Financial accout number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-07-24 00:00:00,,10/13/17/1/9/18/2/12/18; 3/8/18,,286(in Maine,"Trade Motion, 7400 Wilshire Pl. Drive, Houston, TX 77040",,Maine
Former Physician had access to patient personal information as he was obtaining payments for medical peer reviews by stealing the identity of a licensed physician in NY.,2018-07-24 00:00:00,,Discovered 4/10/18,,1(in Maine,"Dane Street, LLC, 3815 Washington Street, Suite 4, Boston, MA 02130 (o/b/o Harvard Pilgrim)",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-07-24 00:00:00,,4/6/18-4/12/18,,2(in Maine,"Optoma Technology, Inc., 47697 Westinghouse Drive, Suite 100, Fremont, CA 94538",,Maine
Employee Email addresses hacked,2018-07-23 00:00:00,,2018-07-22 00:00:00,,Unknown(in Maine,"Town of Surry, P.O. Box 147, 741 North Bend Road, Surry, ME 04684",,Maine
"Name, health insurance application or claims information, and IRS identity protection number",2018-07-20 00:00:00,,4/3/2018 (discovered 5/23-24/18) ,,8(in Maine,"NorthStar Anesthesia, 6225 State Highway 161, #200, Irving, TX 75038",,Maine
"Name, address, phone number, email addressw and SSN ",2018-07-13 00:00:00,,4/20/18-5/22/18,,1695(in Maine,"ComplyRight, Inc.",,Maine
Name or other personal identifier in combination with SSN,2018-07-20 00:00:00,,2018-05-23 00:00:00,,1(in Maine,"Boys Town National Research Hospital, 14100 Crawford Street, Boys Town, NE 68010",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",7/19/2018 (Rec'd revised form 7/23/18 stating the total # of people affected is 3817),,4/20/18-4/26/18 and 5/2/18-5/14/18 (discovered 7/16/18),,17(in Maine,"Helly Hansen AS, Munkedamsveien 35, 6 fl, N-0250, 1653 Vika, N-120 Oslo",,Maine
Discover card account my have been compromised,2018-07-17 00:00:00,,2018-06-01 00:00:00,,2(in Maine,Anastazia Beverly  Hills,,Maine
Discover card account my have been compromised,2018-07-17 00:00:00,,2018-06-01 00:00:00,,1(in Maine,Goplae San Francisco,,Maine
Discover card account my have been compromised,2018-07-17 00:00:00,,2018-06-01 00:00:00,,4(in Maine,Mandukacom,,Maine
Discover card account my have been compromised,2018-07-17 00:00:00,,2018-06-01 00:00:00,,3(in Maine,Strawberry Hill Povitica Co.,,Maine
Discover card account my have been compromised,2018-07-17 00:00:00,,2018-06-01 00:00:00,,157(in Maine,Vistaprint USD,,Maine
Name or other personal identifier  in combination with SSN,2018-07-17 00:00:00,,2018-05-23 00:00:00,,5(in Maine,"DSCI, LLC dba TPx Communications, 515 S. Flower Street, 45th Floor, los Angeles, CA 90071",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-07-16 00:00:00,,7/1/17-10/24/17,,3(in Maine,"The City o Bozeman, Montana, 121 N. Rojuse Ave, Bozeman, MT 59715",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-07-16 00:00:00,,9/12/17- 5/18/18 (discovered 6/1/18),,11(in Maine,"EBSCO Sign Group, LLC, 5724 Highway 280 East, Birmingham, AL  35242",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-07-11 00:00:00,,"5/29/18 - June 13, 2018",,3(in Maine,"The Fruitful Yield, Inc., 244 Knollwood Drive, Bloomingdale, IL 60108",,Maine
Name or other personal identifier in combination with SSN,2018-07-16 00:00:00,,6/12/18 (discovered 7/2/18) ,,1(in Maine,"Appian Way Energy Partners, LLC, 25 Mount Auburn St., Suite 400, Cambridge, MA 02138",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-07-11 00:00:00,,11/10/17-1/5/18; 1/21/18-1/22/18,,112(in Maine,"Tommie Copper Inc., 74 South Moger Avenue, Mount Kisco, NY 10549",,Maine
"Name, billing address, phone number, identification of patient's primary health insurer and SSNs for some people.",2018-07-10 00:00:00,,3/29/18  (discovered 5/11/18),,54(in Maine,"MedEvolve, 115 W 3rd Street, Little Rock, AR 72201",,Maine
Name or other personal identifier in combinatino with SSN,2018-07-10 00:00:00,,Unknown,,1(in Maine,"Ameriprise Financial, Inc., 707 2nd Ave S, Minneapolis, MN 55474",,Maine
Name and SSN,2018-07-06 00:00:00,,Discovered 5/24/18,,1(in Maine,"Malcom &Baker, CPAs & Associates, Inc.",,Maine
"Name, address, phone number, email address, SSN, birthdate and possibly limited health information",2018-07-06 00:00:00,,Discovered 4/11/18,,101(in Maine,"International Mission Board ""IMB""",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-07-06 00:00:00,,11/28/17-6/4/18 (discovered 6/6/18),,1(in Maine,"Village of Wellington, 12300 Forest Hill Blvd, Wellington, FL 33414",,Maine
"""certain personal information pertaining to certain clients and employees",2018-07-06 00:00:00,,2018-05-01 00:00:00,,4(in Maine,"S.J. Gorowitz Accounting & Tax Services, P.C.",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-07-06 00:00:00,,10/17-5/18 (discovered 6/1/18),,3(in Maine,"The Iremedy Healthcare Companies Inc., 2862 SE Monroe St, Stuart, FL 34994",,Maine
"Name, address, birthdate, age, date of service, medical record number, phone number, email address, social security number, health insurance information, facsimile number, driver’s license, medical device number, facial photos, diagnostic images, and other information commonly found in a medical record",2018-07-05 00:00:00,,Discovered 5/7/18,,16(in Maine,"MSK Group, P.C. ",,Maine
Name or other personal identifier in combination with SSN,2018-07-05 00:00:00,,3/14-4/23/18 (discovered 5/15/18),,10(in Maine,"The Information and Referral Federation of Los Angeles County dba 211 LA County, 526 West Las Tunas Drive, San Gabriel, CA 92776",,Maine
"Name, address, phone number, email address, month and day of birth and possible encoded payment card numbers and exp dates",2018-07-02 00:00:00,,4/26/18 - 6/12/18,,299(in Maine,Macy's,,Maine
Name or other personal identifier in combination with SSN,2018-07-02 00:00:00,,6/5/17 (discovered 6/27/18),,1(in Maine,"Rochester Institute of Technology, 13 Lomb Memorial Drive, Rochester, NY 14623",,Maine
Personal data found in emails and their attachments,2018-07-03 00:00:00,,1/12/18-2/8/18,,Not specified(in Maine,"Coty, Inc. ",,Maine
Name or other personal identifier in combination with SSN,2018-06-29 00:00:00,,2.26-27/2018 (discovered 4/26/18),,1(in Maine,"SGS North America, Inc., 201 Rout 17 North, Rutherford, NJ 070707",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-06-29 00:00:00,,2018-05-23 00:00:00,,2(in Maine,"PlainsCapital Bank, 2911 Turtle Creek Blvd, Dallas, TX 75219",,Maine
Name or other personal identifier in combination with SSN,2018-06-29 00:00:00,,2/12/18-3/14/18 (discovered 6/20/18),,1(in Maine,"Northwest University , 5520 108th Ave., N.E., Kirkland, WA 98033",,Maine
Name or other personal identifier in combination with SSN & Driver's license number or non-driver identification card number.,2018-06-28 00:00:00,,9/15 - 9/18/17 (discovered 5/20/18),,1(in Maine,"Hasbro, Inc., 1027 Newport Ave, Pawtucket, RI 02861",,Maine
"Credit & Debit card numbers, exp dates and security codes",2018-07-27 00:00:00,,2018-03-12 00:00:00,,1(in Maine,Toyo Tire Holdings of Americas Inc.,,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-06-27 00:00:00,,5-26-18 to 6-13-18,,8(in Maine,"Dollar Shave Club Inc., 13335 Maxella Avenue, Marina del Rey, CA 90292",,Maine
"Humana account including medical, dental and vision claims, spending account information and biometric screening information",2018-06-22 00:00:00,,2018-06-03 00:00:00,,1(in Maine,"Humana Inc, 500 W Main Street, Louisville, KY 40202",,Maine
Name and SSN and possibly bank account numbers,2018-06-22 00:00:00,,2/15/18 - 2/21/18  (completed data analysis on 5/25/18),,2(in Maine,Thomas Chandler Thomas & Hinshaw LLP,,Maine
Name or other personal identifier in combination with SSN,2018-06-21 00:00:00,,2018-05-10 00:00:00,,45(in Maine,"DiCicco, Gulman & Company, LLP, 150 Presidential Way, Suite 510, Woburn, MA 01801",,Maine
"Name, login name, password, email address, shipping address, billing address, and customer date of birth.",2018-06-21 00:00:00,,Appox. 5/2018 - 5/31/18,,1(in Maine,"L'Occitane, Inc., d/b/a L'Occitane en Provence (L'Occitane), 1430 Broadway, NY, NY 10018",,Maine
Discover card account information,2018-06-20 00:00:00,,"May, 2018",,2(in Maine,Dakine Inc,,Maine
Discover card account information,2018-06-20 00:00:00,,"May, 2018",,2(in Maine,Makeup Geek,,Maine
Discover card account information,2018-06-20 00:00:00,,"May, 2018",,2(in Maine,National Stores DBA Fallas,,Maine
Discover card account information,2018-06-20 00:00:00,,"May, 2018",,2(in Maine,Sporty's Catalogs,,Maine
Discover card account information,2018-06-20 00:00:00,,"May, 2018",,2(in Maine,Titan Distributors,,Maine
Discover card account information,2018-06-20 00:00:00,,"May, 2018",,2(in Maine,www.artnaturals.com,,Maine
"Name, account number and SSN",2018-06-18 00:00:00,,May 2017 (Discovered Late May 2018),,6(in Maine,Manchester Capital Management LLC,,Maine
Name or other personal identifier in combination with SSN,2018-06-15 00:00:00,,Week of 10/23/17,,10(in Maine,"GreatBanc Trust Company, 801 Warrenville Road, Suite 500, Lisle, IL 60532",,Maine
Email address and hashed password (hashed using a cryptographic process),2018-06-15 00:00:00,,10/26/2017 (discovered 6/4/18),,90293(in Maine,"My Heritage Ltd, 3 Ariel Sharon Street, Or Yehuda, Israel 60250",,Maine
"Patient name, birthdate, address, dates of service, diagnosis code and insurance information including ins ID #",2018-06-14 00:00:00,,Breach Discovered 3/22/18,,9(in Maine,"Med Associates, Inc., 13 British American Blvd, Latham, NY 12110",,Maine
Name or other personal identifier in combination with SSN,2018-06-14 00:00:00,,2018-05-07 00:00:00,,6(in Maine,"The Educational Employees Supplementary Retirement System of Fairfax County, 8001 Forbes Place, Suite 300, Springfield, VA 22151",,Maine
Name or other personal identifier in combination with SSN,2018-06-13 00:00:00,,2018-03-08 00:00:00,,5(in Maine,"Ithica College, 316 Peggy Ryan Williams Center, Ithaca, NY 14850",,Maine
"Name, SSN, Health Savings account information, Flex spending account info, including member ID #s and employer ID #s. ",2018-06-13 00:00:00,,2018-04-13 00:00:00,,22(in Maine,"HealthEquity, Inc.",,Maine
"Name, address, telephone number, emaio address, credit card account number, and cvv code",2018-06-13 00:00:00,,2018-04-12 00:00:00,,5(in Maine,"OFD Foods, LLC",,Maine
Name or other personal identifier in combination with SSN,2018-06-12 00:00:00,,2017-11-01 00:00:00,,3(in Maine,"Guaranteed Rate, Inc., 3940 N. Ravenswood, Chicago, IL 60613",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the accoun",2018-06-12 00:00:00,,6/13/17-5/5/18,,2(in Maine,"The City of Goodyear Arizona, 190 N. Litchfield road, Goodyear, AZ 85338",,Maine
"Possibly credit card data such as Name, address, email address, phone number, credit card number, exp date and cvv number",2018-06-11 00:00:00,,4/8/18-5/14/18,,5(in Maine,"ShopPOPdisplays, Inc.",,Maine
"Name, address & bank account number",2018-06-11 00:00:00,,2018-04-05 00:00:00,,4(in Maine,"Marion County Bank, 800 Main Street, Pella, IA 50219",,Maine
Name and SSN,2018-06-11 00:00:00,,"Supplement to May 17, 2018 notice",,3 Addit'l(in Maine,"Corporation Service Co., 251 Little Falls Drive, Wilmington, DE 19808",,Maine
"W-2 information and certain client real estate transactions containing names, addresses, SSNs & Payroll deductions were on the server.",2018-06-11 00:00:00,,2017-12-20 00:00:00,,4(in Maine,"Weichert Co., Morris Plains, NJ",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-06-11 00:00:00,,2018-01-17 00:00:00,,1(in Maine,"Highgate Hotel L.P., 545 E. John Carpenter Freeway, Suite 1400, Irving, TX 75062",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the accoun",2018-06-08 00:00:00,,2018-04-26 00:00:00,,2(in Maine,"International Management Advisors, Ltd, 1360 East 9th Street, Suite 860, Cleveland, OH 44114",,Maine
"Name, billing and shipping addresses, credit card number, exp date and cvv code, company name, and phone number Also Total Phase username and password may also have been compromised if they were enttered during the impacted time period",2018-06-08 00:00:00,,3/2-5/29/18,,"15?  Notice was sent to us, but states 15 MD residents(in Maine","Total Phase, Inc., 2350 Mission College Blvd, Suite 1100, Santa Clara, CA 95054",,Maine
Name or other personal identifier in combination with SSN,2018-06-08 00:00:00,,2018-05-10 00:00:00,,28(in Maine,"Elmcroft Senior Living, Inc., 2807 Allen Street, #834, Dallas, TX 75204",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-06-08 00:00:00,,2018-05-25 00:00:00,,2(in Maine,"Creative Bus Sales, Inc., 14740 Ramona Ave., Chino, CA 91710",,Maine
"Certain limited, administrative user-account info for Facility Portal (Their customers primary customers are law enforcement and corrections agencies) No prorietary Network info, financial info or personally identifying info was not included in potentially accessed info.",2018-06-08 00:00:00,,5/15/2018 Approx,,5(in Maine,Securus Technologies Inc.,,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-06-07 00:00:00,,2018-03-23 00:00:00,,3(in Maine,"Weil, Akman, Baylin & Coleman, P.A., 201 W. Padonia Road, Suite 600, Timonium, MD 21093",,Maine
Name or other personal identifier in combination with SSN,2018-06-07 00:00:00,,2018-05-07 00:00:00,,19(in Maine,"Systeme Software, Inc., 177 Sandy Hill Road, Bovertown, PA 19512",,Maine
Name or other personal identifier in combination with SSN,2018-06-07 00:00:00,,1/8-3/21/18,,16(in Maine,"Aimbridge Hospitality Holdings, LLC, 5851 Legacy Circle Drive, Suite 400, Plano, TX 75024",,Maine
"Name, SSN and tax information",2018-06-07 00:00:00,,Discovered 2/1/18,,3(in Maine,"Lutz & Carr, CPAs LLP",,Maine
Name or other personal identifier in combination with SSN,2018-06-07 00:00:00,,3/5/18 (discovered 5/23/18),,1(in Maine,"HRB Digital, 1 H&R Block Way, Kansas City, MO 64105",,Maine
