Date Notice Provided to Consumers,Dates of Breach,Name of Entity,Individuals Affected,State Reported,Source(s),Start Date of Breach
2017-05-24,2000-06-01,Charles Schwab Co Inc ,940 (15 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2000-06-01
2017-02-06,2017-01-25,Chartwell Hospitality LLC ,1636 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-25
2017-02-09,2017-01-10,Chester  Inc  ,53 (53 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-10
2017-05-01,2017-04-13,Chicago Methodist Senior Services ,669 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-13
2017-07-13,2017-06-30,Chicago Title Company  LLC ,Unknown (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-06-30
2017-07-31,2017-07-21,Chicago Title Company  LLC ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-07-21
2017-02-13,2017-02-01,Chicago Title Company  LLC ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-01
2017-02-28,2017-01-22,Chimes Gourmet  Roxy Trading  Inc  ,443 (4 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-22
2017-05-26,2017-03-24,Chipotle Mexican Grill  Inc  ,unknown (unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-24
2017-05-24,,Cigna ,267 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2017-03-08,2017-01-26,Cintas Corporation ,463 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-26
2017-04-11,2017-03-27,Citi Bank ,38 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-27
2017-03-29,2016-08-24,Citibank NA ,33 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-24
2017-05-31,2017-05-16,Citibank NA ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-16
2017-03-01,2017-02-02,Citibank NA ,5 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-02
2017-02-20,2017-02-08,Citizens Memorial Hospital Districtand Citizens Memorial Healthcare Foundation ,2504 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-08
2016-12-27,2016-11-09,Cityof Hutchinson   Kansas ,572 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-09
2017-02-16,2017-02-07,Clarke University ,443 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-07
2017-04-27,2017-04-11,Clark Rasmussen Taylor  CPAs ,1361 (5 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-11
2017-03-09,2017-02-07,Clark Schaefer Hackett ,Unknown (11 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-07
2017-09-20,2017-06-14,Clifton Larson Allen LLP ,1239 (23 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-06-14
2017-03-30,2017-03-14,Clinton Health Access Initiative  Inc  ,102 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-14
2017-07-12,2016-08-10,Club Quarters Hotels ,92360 (126 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-10
2017-05-26,2017-01-01,Clysar  LLC ,329 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-01
2017-02-24,2017-01-26,CMACGM  America  LLC ,337 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-26
2017-07-20,2017-07-07,Coatings  Adhesives Corporation ,189 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-07-07
2017-06-26,2017-04-30,Coburn Supply Company  Inc  ,55 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-30
2017-04-12,2017-02-20,Coley  Eubank  Company  P  C  ,753 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-20
2017-02-08,2017-02-02,Collegeof Southern Idaho ,2509 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-02
2017-07-26,2016-08-10,Columbia West Properties  Inc  ,4406 (27 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-10
2017-04-21,2017-04-05,Columbus Regional Health Physicians ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-05
2017-04-14,2015-07-01,Combat Brands  LLC ,37863 (420 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-07-01
2017-03-16,2017-02-02,Comfort Technology  d  b  a Therafit Shoes ,445 (16 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-02
2016-12-29,2016-11-25,Common Bond  Inc  ,1661 (28 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-25
2017-04-03,2014-08-01,Commonwealth Health Corporation ,108919 (437 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2014-08-01
2017-06-02,2017-05-22,Community Health Network ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-22
2017-06-20,2017-05-22,Community Health Network ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-22
2017-08-28,2017-07-28,Community Health Network ,Unknown (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-07-28
2017-04-17,2017-03-24,Community Health Network ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-24
2017-05-05,2017-03-27,Community Health Network ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-27
2017-02-03,2017-01-19,Community Health Network ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-19
2017-08-04,2017-07-28,Community Health Network  Security Breach ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-07-28
2017-03-24,2017-02-15,Continental American Insurance Company ,675 (19 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-15
2017-04-04,2017-01-08,Cooper  s Hawk Intermediate Holdings LLC ,27 (5 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-08
2017-01-17,,Co Pilot Provider Support Services  Inc  ,221178 (1282 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2017-08-29,2017-07-21,Core Logic Credco ,2189 (3 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-07-21
2017-01-20,2016-09-06,Core Source  Inc  ,71 (3 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-06
2017-07-14,2017-04-17,Covanta Holding Corporation ,258 (3 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-17
2017-06-16,2017-04-14,Cove Family  Sports Medicine ,4300 (3 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-14
2017-08-24,2017-07-14,Crescent Mortgage Company ,Unknown (10 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-07-14
2017-06-01,2016-06-01,Crimson Trace Corporation ,6866 (171 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-01
2017-01-06,2016-12-06,Crosman Corporation ,82 (3 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-12-06
2017-05-02,2017-02-24,CSMBakery Solutions ,949 (4 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-24
2017-02-14,,CTHRentals  LLC ,Unknown (3 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2017-09-07,2017-07-13,Curriculum Associates  LLC ,102 (6 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-07-13
2017-02-24,2017-02-22,Custom Mechanical Systems  Corp  ,114 (42 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-22
2017-05-01,2016-09-05,Cutters Sports ,2098 (28 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-05
2017-06-16,2017-02-21,Dallas County Community College District ,1431 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-21
2017-01-30,2017-01-18,Darden Restaurants ,268 (138 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-18
2017-06-20,2017-03-30,David Turrentine  Associates  Inc  ,1948 (24 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-30
2017-03-07,,Daytona State College ,1917 (12 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2017-01-07,2017-01-07,DBMGlobal  Inc  ,5895 (7 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-07
2017-03-06,2017-02-13,Deaconess Health System  Security Breach ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-13
2017-06-30,2017-01-09,Deaconess Hospital ,5 (5 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-09
2017-06-16,2017-01-24,Deaconess Hospital ,3 (3 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-24
2017-06-01,2017-01-04,Deaconess Hospital ,3 (3 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-04
2017-03-06,2017-02-13,Deaconess Hospital ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-13
2017-03-02,2017-01-26,Dearborn Mid  West Company  LLC ,934 (126 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-26
2017-07-31,2016-08-10,Delaware North Companies  Inc  ,22201 (172 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-10
2017-07-26,2017-05-23,Delek USHoldings  Inc  ,27123 (50 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-23
2017-05-04,2017-04-20,Deloitte Tax LLP ,2 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-20
2017-04-14,2017-02-13,Delta Career Education Corporation ,162120 (180 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-13
2017-08-16,2016-08-10,Denihan Hospitality ,20612 (249 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-10
2017-02-08,2016-12-01,Denison University ,Unknown (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-12-01
2017-05-25,2013-10-06,Dermatopathology Laboratoryof Central States ,87 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2013-10-06
2017-04-28,2017-01-14,Diamond Institutefor Infertilityand Menopause ,14633 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-14
2017-01-27,2017-01-25,Distribution International ,1133 (106 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-25
2017-04-24,2017-03-24,Donaldson Company  Inc  ,4487 (668 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-24
2017-02-14,2017-01-25,Driveline Retail Merchandising  Inc  ,15878 (405 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-25
2017-09-15,2017-08-18,E   J  Gallo Winery ,7730 (12 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-08-18
2017-03-27,2017-01-06,Easy Breathe  Inc  ,78759 (1588 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-06
2017-08-17,2017-01-01,Ebelhar Whitelead  PLLC ,54 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-01
2017-04-18,2017-03-15,Edgewood Management Corp  ,1873 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-15
2017-01-27,2017-01-20,e Healthinsurance Services  Inc  ,1010 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-20
2017-05-09,2017-02-03,EJWelch Company ,138 (18 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-03
2017-03-08,,Elkay Plastics Co   Inc  ,243 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2017-07-05,2017-06-01,Elkhart County Prosecutors Office ,2 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-06-01
2017-03-01,2017-01-30,Ellis Partnersin Management Solutions ,389 (5 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-30
2017-03-24,2016-10-03,Employ Indy ,2045 (2045 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-10-03
2017-09-07,,Enlowand Minsky CPA ,353 (11 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2017-03-09,2017-02-17,Enterprise Leasing Companyof Indianapolis  LLC ,14 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-17
2017-05-05,2016-08-23,Equian  LLC ,299 (63 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-23
2017-09-07,2017-05-13,Equifax Inc ,143 million (3.8 million in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-13
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
,,Equifax Incorp   ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-12-22,2016-12-08,e Screen  Inc  ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-12-08
2017-06-20,2017-05-26,Esemble Health Partners ,639 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-26
2017-09-01,2016-08-10,Evans Hotels ,2448 (52 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-10
2017-02-15,2017-01-09,Evanson Asset Management  LLC ,222 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-09
2017-04-10,2017-03-27,Evergreen Tank Solutionsand Water Movers ,413 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-27
2017-08-15,2017-07-17,Evers Robinson ,286 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-07-17
2017-04-18,2017-03-15,Exam One ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-15
2017-04-14,2017-01-24,Exam One ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-24
2017-09-12,2017-07-05,Exam One ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-07-05
2017-05-22,2017-05-05,Exam One ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-05
2017-01-30,2016-12-16,Exam One ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-12-16
2017-01-11,2016-11-25,Exeter Finance Corp  ,54 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-25
2017-04-28,2017-02-08,Extreme Reach  Inc  ,3800 (5 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-08
2017-03-14,2017-02-04,Faller  Kincheloe  Co   PLC ,3430 (5 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-04
2017-02-17,2016-12-26,Family Services Rochester ,17037 (26 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-12-26
2017-06-19,2017-04-24,Family Tree Health Clinic  P  A  ,13402 (3 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-24
2017-03-29,2016-11-30,Farm Credit Mid  America ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-30
2017-09-21,2017-07-25,Farmersand Merchants Bank ,10650 (4 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-07-25
2017-05-26,2016-01-14,Fast Health Corporation ,18301 (87 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-14
2017-02-28,2017-01-02,Federal Direct Tax Services ,258 (8 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-02
2017-08-18,2017-05-23,Federal Home Loan Bankof Indianapolis ,119 (84 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-23
2017-06-08,2017-05-26,Fidelity National Financial Inc ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-26
2017-05-04,2017-01-11,Fidelity National Financial Inc ,236 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-11
2017-09-06,2017-08-07,Fiduciary Management  Inc  ,3055 (42 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-08-07
2017-04-26,2017-03-13,Fieldand Main Bank ,165 (25 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-13
2017-04-07,2016-11-03,First National Bankof Pennsylvania ,9358 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-03
2017-07-06,2016-11-29,Fisher Spiegel Kunkle  Gerber ,292 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-29
2017-05-09,2016-06-28,FNBCBankand Trust ,24 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-28
2017-03-30,2017-03-03,Food Safety Net Services ,573 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-03
2017-01-31,2017-01-23,Food Warming Equipment Company  Inc  ,180 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-23
2017-05-04,2017-01-20,Franciscan Health Hammond ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-20
2017-06-29,2017-03-15,Franciscan Health Indianapolis ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-15
2017-06-06,2017-05-22,Franciscan Health Indianapolis ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-22
2017-08-16,2017-03-17,Franciscan Health Indianapolis ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-17
2017-08-18,2017-05-22,Franciscan Health Indianapolis ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-22
2017-06-22,2017-04-22,Franciscan Health Michigan City ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-22
2017-09-25,2017-08-28,Franciscan Physician Network ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-08-28
2017-05-31,2016-12-01,Franciscan Physician Network ,3 (3 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-12-01
2016-12-29,,Frederick County Public Schools ,905 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2017-06-05,2017-03-07,Freedom Smokes  Inc  ,21957 (553 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-07
2017-05-19,,Frontier Airlines ,3605 (6 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2017-09-11,2017-05-12,Frontier Co  Op ,1500 (25 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-05-12
2017-05-31,2017-04-21,Frontline Education ,53 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-21
2017-02-13,2017-02-10,Frosch International Travel  Inc  ,Unknown (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-10
2017-03-09,2017-03-03,Frost  Sullivan ,370 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-03
2017-08-21,2017-06-22,FSSA ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-06-22
2017-06-23,2017-06-23,FSSA ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-06-23
2017-08-24,2017-08-16,FSSA ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-08-16
2017-08-15,2017-08-09,FSSA ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-08-09
2017-09-18,2017-09-12,FSSA ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-09-12
2017-04-17,2017-03-30,FSSA  Breach  Notification ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-30
2017-04-28,2017-04-26,FSSA  Breach  Notification ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-04-26
2017-06-12,2017-06-09,FSSA  Breach  Notification ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-06-09
2017-02-13,2017-02-07,FSSA  Breach  Notification ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-07
2017-03-20,2017-03-08,FSSA  Breach  Notification ,1 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-08
2017-06-05,2016-08-10,Game Stop  Inc  ,1338102 (27537 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-10
2017-04-28,2017-03-28,Gannett Company  Inc  ,18100 (1538 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-28
2017-02-20,2017-01-16,Gardiner  Appel Group  Inc  ,1281 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-16
2017-01-11,,Gator Cases Inc ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2017-02-10,2017-02-01,Genocea Biosciences  Inc  ,134 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-01
2017-05-08,2017-01-12,Genpact International  Inc  ,8517 (156 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-12
2017-03-14,2017-01-25,Geokinetics Inc  ,709 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-01-25
2017-03-17,2017-03-08,Get Well Network  Inc  ,Unknown (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-08
2017-03-28,2017-03-14,Glaxo Smith Kline ,36 (1 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-14
2017-02-23,2016-10-25,Goldberg  Miller  Rubin  PC ,5700 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-10-25
2017-03-20,2016-09-01,Goldenvoice  LLC ,27000 (6 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-01
2017-07-07,2017-03-08,Golf    Ski  Warehouse   Inc  ,4176 (39 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-08
2017-06-23,2017-03-22,Golf Tec Enterprises  LLC ,22914 (127 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-03-22
2017-06-29,2016-08-10,Google Inc  ,Unknown (6 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-10
2017-04-15,,Goshen Community Schools ,23 (23 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2017-04-13,2017-02-02,GPSHospitality Holding Company LLC ,8814 (121 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-02
2016-12-28,2016-07-12,Graphik Dimensions  Ltd  ,14095 (181 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-07-12
2017-07-19,2016-08-10,Great Wolf Resorts  Inc  ,5000 (6 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-10
2017-03-20,2017-02-19,Gross  Puckey  Gruel  Roof  P  C  ,130 (2 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2017-02-19
