Data Stolen,Date Notice Provided to Consumers,Dates of Breach,Individuals Affected,Name of Entity,State Reported,Start Date of Breach,End Date of Breach
Customers who swiped their credit or debit cards for purchases made at approximately 216 Jimmy John’s sandwich stores nationwide. Those cards entered manually and online credit and debit card data was not compromised. Five locations in Wisconsin were reported as locations affected. The list of locations affected can be found here.,2014-09-24 00:00:00,"June 16, 2014 – September 5, 2014","On July 30, 2014, Jimmy John’s learned of a possible security incident involving credit and debit card data at some of Jimmy John’s stores and franchised locations by remotely accessing the point-of-sale systems at some corporate and franchised locations between June 16, 2014 and September 5, 2014. The security compromise has been contained, and customers can use their credit and debit cards securely at Jimmy John’s stores. UPDATE (10/29) Signature Systems Inc. is the point-of-sale service used by Jimmy John’s. Signature Systems has confirmed two other Wisconsin businesses were also affected by this breach: Pizzeria Scotty in Milwaukee and Rosati’s in Oconomowoc. A complete list can be found online.",Jimmy John’s Franchise LLC,Wisconsin,2014-06-16 00:00:00," September 5, 2014"
"Credit or debit card number, card expiration date, name, billing address and email address, and possibly Viator account information (email address, encrypted password and Viator ""nickname"")",2014-09-19 00:00:00,"September 2, 2014",Approximately 1.4 million users who used credit or debit cards to purchase travel on Viator’s website or mobile offerings.Also anyone who created an account on Viator may have had their account information compromised.,"Viator, Inc.",Wisconsin,2014-09-02 00:00:00,
Credit/debit card data UPDATE (11/10): email addresses,2014-09-02 00:00:00,"April 1, 2014","Customers who used a credit or debit card to make a purchase at Home Depot stores in the US and Canada starting April 1, 2014. UPDATE (11/10): Customers who have an online account with homedepot.com","Home Depot USA, Inc.",Wisconsin,2014-04-01 00:00:00,
Credit card data,2014-08-29 00:00:00,Unknown,Customers who used a credit cards or debit cards for purchases at an undisclosed number of locations. Details on how many customers might be affected are unknown at this time.,American Dairy Queen Corp.,Wisconsin,Unkno,
Banking and Credit Card Information,2014-08-28 00:00:00,"August, Exact Dates Unknown",Unknown at this time,JP Morgan Chase & Co,Wisconsin,"August, Exact Dates Unkno",
"User names, email addresses, passwords",2014-08-15 00:00:00,"August 5 – 7, 2014",An undisclosed number of people with MeetMe user accounts.,"MeetMe, Inc.",Wisconsin,August 5," 7, 2014"
Credit and debit card payment information,2014-08-15 00:00:00,"June 22, 2014 – July 17, 2014","An undetermined number of customers who used their credit or debit card for payment during the above dates. Only some Jewel-Osco stores, exact locations yet unknown, in Illinois, Indiana and Iowa were affected. Customers of other stores under the operating company, AB Acquisition LLC, were also affected. Albertsons stores in Southern California, Idaho, Montana, North Dakota, Nevada, Oregon, Washington, Wyoming and Southern Utah were impacted. In addition, ACME Markets in Pennsylvania, Maryland, Delaware and New Jersey; and Shaw’s and Star Markets stores in Maine, Massachusetts, Vermont, New Hampshire and Rhode Island were all impacted by this incident.",Jewel – Osco,Wisconsin,2014-06-22 00:00:00," July 17, 2014"
Social Security Numbers and Call Records,2014-06-13 00:00:00,"Between April 9 and April 21, 2014",AT & T Customers,AT & T,Wisconsin,April 9," April 21, 2014"
Credit & Debit Card Information,2014-06-10 00:00:00,"March 2014 through May 30, 2014","Consumers who used their debit and/or credit card at PF Chang’s China Bistro anytime between March 2014 and May 30, 2014.",PF Chang’s China Bistro,Wisconsin,March 2014,2014-05-30 00:00:00
"Customer names, account passwords, email addresses, physical addresses, phone numbers and birth dates.",2014-05-21 00:00:00,"Late February, Early March 2014","On Wednesday, May 21, 2014 eBay announced that hackers broke into their database and stole user information.",eBay,Wisconsin,"Late February, Early March 2014",
Payment card information: Payment card number and expiration date.,"January 27, 2014 & April 17, 2014","May 8, 2013 through January 27, 2014","Approximately 3 million Michael’s Stores customers and approximately 400,000 Aaron Brother’s customers.","Michaels Stores, Inc. & Aaron Brothers",Wisconsin,2013-05-08 00:00:00,2014-01-27 00:00:00
Usernames & passwords,2014-01-31 00:00:00,"January 31, 2014","Yahoo, Inc. email users","Yahoo, Inc.",Wisconsin,2014-01-31 00:00:00,
"Unity member number, date of birth, city of residence, name of prescribed drug, and date of service, if any.",2014-01-31 00:00:00,"December 12, 2014","41,437 Unity Health Insurance members may have been affected by the breach..",Unity Health Insurance,Wisconsin,2014-12-12 00:00:00,
"Approximately 1.1 million customers who shopped at Neiman Marcus between July 16 and October 30, 2013.",2014-01-10 00:00:00,"July 16 – October 30, 2013","Neiman Marcus confirmed Saturday that its customers are at risk after hackers breached the company’s servers and accessed the payment information of those who visited its stores.The company said that the malware had been put into its system and had stolen payment data off cards used from July 16 to Oct. 30. During those months, approximately 1,100,000 customer payment cards could have potentially been visible to the malware capable of fraudulently obtaining payment card information.",Neiman Marcus,Wisconsin,July 16," October 30, 2013"
Usernames and Phone Numbers,2014-01-01 00:00:00,December 2013,Approximately 4.6 million Snapchat users.,Snapchat,Wisconsin,December 2013,
"The breach involves the theft of information stored on the magnetic stripe on the backs of credit or debit cards used by consumers in all US Stores. The information involved in this incident included customer name, credit or debit card number, and the card’s expiration date and CVV (three-digit security code).",2013-12-19 00:00:00,"November 27, 2013 – December 15, 2013","Approximately 40 million customers who made purchases using credit or debit cards at its U.S. stores between November 27 and December 15, 2013.",Target Corp.,Wisconsin,2013-11-27 00:00:00," December 15, 2013"
Website login credentials (usernames) and passwords,2013-12-03 00:00:00,"November 24, 2013","Approximately two million Facebook, LinkedIn, Twitter, Gmail and Yahoo users.","Facebook, LinkedIn, Twitter, Gmail, & Yahoo",Wisconsin,2013-11-24 00:00:00,
"Names, addresses, dates of birth, Social Security numbers, and gender. Approximately 6,000 City of Milwaukee employees and 3,000 of their spouses and domestic partners.",2013-11-16 00:00:00,"October 22, 2013","On October 22, 2013, Dynacare learned that a flash drive inside a car stolen from a Dynacare employee contained patient information. The theft occurred overnight and was immediately reported to the Milwaukee Police Department the morning of October 22, 2013. After a thorough Investigation, it was determined that the stolen flash drive contained a database with patient demographic information, this included patient names, addresses, dates of birth, Social Security numbers, and gender. No financial information, medical records, or test results were included in the database.","Dynacare Laboratories, Milwaukee",Wisconsin,2013-10-22 00:00:00,
"Patient's name and account number, date(s) of service, and the charges associated with each date of service. The statements also included the name, address and identification number for the guarantor on the account. Other personal information, such as social security number, date of birth, and specific health conditions, were not included in the disclosure.",2013-10-04 00:00:00,"August 6, 2013",Patients who received care/services at Memorial Hospital of Lafayette County that date back to 2001 through the present.,Memorial Hospital of Lafayette County,Wisconsin,2013-08-06 00:00:00,
"Patient name, date of birth, medical record and account numbers, provider and department of service, bed and room number, date and time of service, visit history, complaint, diagnosis, procedures, test results, vaccines, if administered, and medications.",2013-10-01 00:00:00,"August 27, 2013","They have identified 629 patients who may have been affected and are notifying each of the patients or their guardians by letters mailed September 30, 2013. These patients received care at St. Mary’s Janesville Hospital in the emergency department between January 1 and August 26, 2013.",St. Mary’s Janesville Hospital,Wisconsin,2013-08-27 00:00:00,
"Customer names, passwords and payment (debit & credit) card numbers as well as the source code for Adobe products",2013-10-04 00:00:00,"October 4, 2013",Approximately 2.9 million Adobe customers.,Adobe,Wisconsin,2013-10-04 00:00:00,
"Name, mailing address, email address, phone number and credit card numbers with expiration dates.",2013-05-22 00:00:00,"April 25, 2013","Vendini provides box office and online ticketing services to hundreds of entertainment venues, which includes tour, casino, sports, and arts organizations across the U.S. and Canada. For those who have used a credit card to make a purchase for an event that was processed through Vendini’s service, their information may have been compromised.","Vendini, Inc.",Wisconsin,2013-04-25 00:00:00,
Email addresses and telephone numbers.,Sometime in 2012,"April 26, 2013",Approximately 6 million Facebook users had email addresses or telephone numbers shared in a download at least one or two times.,Facebook,Wisconsin,2013-04-26 00:00:00,
"Name, Social Security Number, Date of Birth, Address, Driver’s License Number, copies of tax information and other government forms that TerraCom is required by law to obtain and use in order to determine applicant eligibility for the Lifeline program.",2013-04-26 00:00:00,"April 26, 2013","The data accessed belonged to 150,000 applicants seeking enrollment in the federal Lifeline telephone program administered by the Federal Communications Commission (FCC). Approximately 875 of the 150,000 are Wisconsin residents.","TerraCom, Inc. (""TerraCom"")",Wisconsin,2013-04-26 00:00:00,
"Names, birthdates, race, contact information and social security numbers",2013-04-09 00:00:00,"March 13, 2013","Individuals who applied for college-credit classes between February 25, 2005 and March 13, 2013.",Kirkwood Community College (ADPI),Wisconsin,2013-03-13 00:00:00,
"A computer virus may have allowed an unauthorized person to access an employee of Froedtert Health’s work computer account that contained personally identifiable information (PII) of approximately 43,000 patients.",2013-02-13 00:00:00,"December 14, 2012","Although there was no evidence found that any unauthorized person accessed any personal information or medical records, the expert computer forensics company couldn’t definitively rule out the possibility that the virus was able to obtain information stored in this employee’s work computer account, so they felt it was important to make the public aware of this incident. The file in the employee’s work computer account contained patient information including names, addresses, telephone numbers, dates of birth, medical record numbers, names and health insurers, diagnosis, other clinical information, and in some instances, Social Security Numbers. Financial information was not stored in any files in the employee’s work computer.",Froedtert Health,Wisconsin,2012-12-14 00:00:00,
,,,Who’s Affected,,Wisconsin,a,
"Usernames, email addresses, and encrypted passwords.",2013-02-01 00:00:00,"February 1, 2013","Approximately 250,000 Twitter users.","Twitter, Inc.",Wisconsin,2013-02-01 00:00:00,
"Stolen data may have included name, driver’s license number, social security number and bank account information.",2012-12-21 00:00:00,"November 29, 2012","Individual’s whose information may have been exposed included customers of the Skagit Valley Casino Resort, and/or customers who have been to a casino in Las Vegas or a casino that uses Bally’s as a vendor. Bally Technologies, Inc. (""Bally"") is a slot manufacturing company, their primary technologies include gaming devices for land-based, riverboat and Native American casinos, video lottery and central determination markets.",Skagit Valley Casino Resort,Wisconsin,2012-11-29 00:00:00,
"Name, Date of Birth and Social Security Number",2012-11-29 00:00:00,"June 15, 2012 to October 1, 2012","Individuals whose information may have been exposed included patients who received services from certain ambulance agencies associated with Advanced Data Processing, Inc.","Advanced Data Processing, Inc. (ADPI)",Wisconsin,2012-06-15 00:00:00,2012-10-01 00:00:00
"Names, Social Security Numbers, driver’s license numbers, credit card numbers, and/or personal information.",2012-11-26 00:00:00,"October 11, 2012","Individual whose information may have been exposed includes employees, former employees, and employees who applied for employment at Pinnacle’s Darien, Wisconsin location.","Pinnacle Foods Group, LLC",Wisconsin,2012-10-11 00:00:00,
"Individual’s Name and a combination of: Social Security number, driver’s license number and/or date of birth and possibly marital status, gender and occupation, and the name and address of their employer.",2012-11-16 00:00:00,"October 3, 2012","Nationwide’s records indicate that the information of some customers and other individuals who received a quote on auto insurance from Nationwide or Allied, either online, via phone or through an agent at some point during the thirteen months prior to the attack on October 3, 2012.",Nationwide Insurance Company,Wisconsin,2012-10-03 00:00:00,
"Name, Address, Date of Birth, Social Security Number, Diagnosis",2012-10-24 00:00:00,"September 23, 2012","More than 100,000; among those affected include 1,736 Wisconsin residents.",Alere Home Monitoring,Wisconsin,2012-09-23 00:00:00,
Social Security Numbers,2012-07-24 00:00:00,April 2012 – July 2012,The first seller listed on the real estate property return.,Department of Revenue (DOR),Wisconsin,April 2012, July 2012
Email address and passwords,2012-07-12 00:00:00,"July 11, 2012","This affects those who use: Yahoo!, Gmail, MSN, Hotmail, Comcast and AOL (because Yahoo! Voices allows you to sign in using different email addresses)",Yahoo! Voices,Wisconsin,2012-07-11 00:00:00,
Access to approximately 6.5 million customer passwords,2012-06-06 00:00:00,"June 6, 2012",About 6.5 million LinkedIn users were affected. The company notified members that have accounts associated with compromised passwords to notify them their account password is no longer valid; this notification included instructions on how to change their passwords.,LinkedIn,Wisconsin,2012-06-06 00:00:00,
"Employee names, Social security numbers, Salary information",2012-04-21 00:00:00,"April 12, 2012","Unspecified number of employees. Under Armour Inc. employs 5,400 employees around the world.",Under Armour Inc.,Wisconsin,2012-04-12 00:00:00,
