Name of Entity,Start Date of Breach,Individuals Affected,State Reported,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Industry,Parent Company,Website,End Date of Breach,Link to PDF,Location of Breached Information,Reported Date,Type of Breach,Source(s)
California Department Of Corrections And Rehabilitation,2014-03-03 00:00:00,,{'California'},UNK,,,03/03/2014,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-44678,,2014-04-02,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
California Department Of Healthcare Services,2012-11-05 00:00:00,,{'California'},UNK,,,11/05/2012,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-37139,,2012-12-05,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
California Department Of Motor Vehicle (ca Dmv),2015-09-28 00:00:00,,{'California'},UNK,,,09/28/2015,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-58698,,2015-11-06,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
California Department Of Public Health,2012-05-08 00:00:00,,{'California'},UNK,,,05/08/2012,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-23330,,2012-06-05,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
California Department Of Public Health,2013-08-20 00:00:00,,{'California'},UNK,,,08/20/2013,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-42780,,2013-09-26,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
California Department Of Public Health,2018-03-12 00:00:00,,{'California'},UNK,,,03/12/2018,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-136496,,2018-05-23,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
California Department Of State Hospitals,2013-05-08 00:00:00,,{'California'},UNK,,,05/08/2013,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-41863,,2013-05-24,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
California Pacific Medical Center,2013-10-15 00:00:00,,{'California'},UNK,,,"10/15/2013, 10/15/2014",,,,2014-10-15,https://oag.ca.gov/ecrime/databreach/reports/sb24-48217,,2015-01-23,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
California Physicians' Service D/b/a Blue Shield Of California,2015-05-09 00:00:00,,{'California'},UNK,,,05/09/2015,Healthcare,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-56265,,2015-06-05,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
California Physicians' Service D/b/a Blue Shield Of California,2017-11-01 00:00:00,,{'California'},UNK,,,11/01/2017,Healthcare,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-135277,,2018-04-13,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
California Physicians' Service D/b/a Blue Shield Of California,2018-05-22 00:00:00,,{'California'},UNK,,,"05/22/2018, 06/26/2018",Healthcare,,,2018-06-26,https://oag.ca.gov/ecrime/databreach/reports/sb24-144778,,2019-02-15,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"California State University, East Bay,",2014-09-05 00:00:00,,{'New Hampshire'},UNK,,,"September 05, 2014",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/california-university-east-bay-20140905.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"California State University, East Bay,",2018-10-08 00:00:00,,{'New Hampshire'},"['license', 'name', 'financial', 'password', 'phone number', 'address', 'medical', 'insurance', 'identification number']",,,"October 08, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/california-state-university-20181008.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"California State University, East Bay,",2013-08-23 00:00:00,,{'California'},UNK,,,08/23/2013,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-46513,,2014-09-05,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"California State University, East Bay,",2017-03-27 00:00:00,6.0,"{'California', 'Montana'}",UNK,,,3/27/2017-9/2/2018,,,,2018-09-02, https://media.dojmt.gov/wp-content/uploads/Rebound-Orthopedics-Neurosurgery.pdf ,,2018-10-05,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\', ""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"California State University, East Bay,",2018-03-27 00:00:00,9941.0,{'Indiana'},UNK,2018-10-05,,2018-03-27 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"California State University, East Bay,",Not Specified,,{'Vermont'},UNK,2018-10-05 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/10/05/california-state-university-east-bay-notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"California State University, Fresno,",2018-03-06 00:00:00,,{'New Hampshire'},['insurance'],,,"March 06, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/california-university-fresno-20180306.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"California State University, Fresno,",2017-12-01 00:00:00,10777.0,{'Indiana'},UNK,2018-03-06,,2017-12-01 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"California State University, Fresno,",2017-12-22 00:00:00,,{'California'},UNK,,,12/22/2017,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-134231,,2018-03-06,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"California State University, Fresno,",Not Specified,,{'Vermont'},UNK,2018-03-06 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/03/06/california-state-university-fresno-notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
California Virtual Academies,2015-12-09 00:00:00,,{'California'},UNK,,,12/09/2015,,,www.k12.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-59786,,2016-01-25,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Caloptima,2016-08-17 00:00:00,,{'California'},UNK,,,08/17/2016,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-64419,,2016-10-14,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Calpine Corporation,2016-02-09 00:00:00,,{'California'},UNK,,,02/09/2016,,,www.calpine.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-60083,,2016-02-16,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Calvin Schuster, M.d.",2012-11-04 00:00:00,,{'California'},UNK,,,11/04/2012,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-37745,,2013-01-07,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Calypso St. Barth, Inc.,",2014-11-26 00:00:00,,{'New Hampshire'},UNK,,,"November 26, 2014",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/calypso-st-barth-20141126.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Cambridge Dental Consulting Group,2018-03-13 00:00:00,3840.0,{'Indiana'},UNK,2018-05-09,,2018-03-13 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Cambridge Health Alliance,",2018-03-28 00:00:00,,{'New Hampshire'},"['name', 'dates of birth', 'address', 'insurance']",,,March 28 2018,,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/cambridge-health-20180328.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Cambridge Healthcare Services, Llc",2018-11-23 00:00:00,3.0,{'Montana'},UNK,,,11/23/2018-12/5/2018,Life sciencesPharmaceuticalsChemicals,,Bayer.com,2018-12-05, https://media.dojmt.gov/wp-content/uploads/Cambridge-Healthcare-Services-LLC.pdf ,,2019-01-18,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Camelot Education,2017-02-22 00:00:00,1427.0,{'Indiana'},UNK,2017-03-02,,2017-02-22 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Cameron Memorial Community Hospital,2017-08-15 00:00:00,8.0,{'Indiana'},UNK,2017-12-01,,2017-08-15 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Cameron Memorial Community Hospital,2017-11-08 00:00:00,2.0,{'Indiana'},UNK,2017-11-15,,2017-11-08 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Campbell County Health,2017-01-25 00:00:00,1456.0,"{'Indiana', 'Montana'}",UNK,,,1/25/2017-1/25/2017,Food processing,,www.campbellsoupcompany.com,2017-01-25, https://media.dojmt.gov/wp-content/uploads/Campbell-County-Health.pdf ,,2017-01-27,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}"", \\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Campbell Soup Company,2018-06-27 00:00:00,,{'Oregon'},UNK,2018-07-09 00:00:00,2018-06-27 00:00:00,6/27/2018 - 6/27/2018,Food processing,,www.campbellsoupcompany.com,2018-06-27 00:00:00,,,2018-07-10 00:00:00,7,"{'{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}""}"
"Campbell Taylor & Company,",2017-03-18 00:00:00,,{'New Hampshire'},"['social security number', 'name', 'date of birth', 'financial', 'address', 'medical', 'insurance']",,,"March 18, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/campbell-taylor-20170318.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Campbell Taylor & Company,",2017-04-07 00:00:00,,{'New Hampshire'},"['social security number', 'name', 'date of birth', 'financial', 'address', 'insurance']",,,"April 07, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/campbell-taylor-20170407.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Campbell Taylor & Company,",2017-01-27 00:00:00,7.0,"{'California', 'Montana'}",UNK,,,1/27/2017-2/2/2017,,,,2017-02-02, https://media.dojmt.gov/wp-content/uploads/Campbell-Taylor-Company.pdf ,,2017-03-21,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\', ""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Campbell Union High School District,2017-04-03 00:00:00,,{'California'},UNK,,,04/03/2017,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-67731,,2017-04-20,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Campbellsville University Inc,2018-07-19 00:00:00,7.0,{'Indiana'},UNK,2018-10-19,,2018-07-19 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Cancer Treatment Centers Of America,2018-05-02 00:00:00,,{'Oregon'},UNK,2018-11-26 00:00:00,2018-09-26 00:00:00,5/2/2018 - 5/2/2018,,,www.cancercenter.com,2018-05-02 00:00:00,,,2018-11-30 00:00:00,7,"{'{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}""}"
Cancer Treatment Centers Of America (ctca),2018-05-02 00:00:00,190.0,{'Montana'},UNK,,,5/2/2018-5/5/2018,,,www.cancercenter.com,2018-05-05, https://media.dojmt.gov/wp-content/uploads/Cancer-Treatment-Centers-of-America-CTCA.pdf ,,2018-11-26,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Cancer Treatment Centers Of America At Western Regional Medical Center,2018-05-02 00:00:00,,{'California'},UNK,,,05/02/2018,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-142129,,2018-11-27,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Cand Jfinancial Llc,2018-05-04 00:00:00,372.0,{'Indiana'},UNK,2018-09-11,,2018-05-04 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Canyon Bakehouse Llc,2017-03-29 00:00:00,,{'California'},UNK,,,"03/29/2017, 02/12/2019",,,,2019-02-12,https://oag.ca.gov/ecrime/databreach/reports/sb24-146126,,2019-04-09,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Canyon Bakehouse Llc,Not Specified,,{'Vermont'},UNK,2019-04-09 00:00:00,,,,,,,https://ago.vermont.gov/blog/2019/04/09/canyon-bakehouse-llc-notice-of-data-breach-to-consumers-2/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
Canyon Rd. Chiropractic And Massage,2018-06-30 00:00:00,,{'Oregon'},UNK,,,6/30/2018 - 6/30/2018,,,,2018-06-30 00:00:00,,,2018-08-07 00:00:00,7,"{'{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}""}"
"Cape May-lewes Ferry,",2014-10-30 00:00:00,,{'New Hampshire'},UNK,,,"October 30, 2014",,,www.cmlf.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/cape-may-lewes-ferry-20141030.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Capella University,",2013-02-14 00:00:00,,{'New Hampshire'},UNK,,,"February 14, 2013",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/capella-university-20130214.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Capezio,2015-10-01 00:00:00,15.0,{'Montana'},UNK,,,10/1/2015-11/30/2015,Manufacturing,,www.capezio.com,2015-11-30, https://media.dojmt.gov/wp-content/uploads/Capezio.pdf ,,2016-02-10,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capital Asset Management Group, Inc.,",2019-02-27 00:00:00,,{'New Hampshire'},"['license', 'name', 'dates of birth', 'financial', 'password', 'email', 'phone number', 'address', 'insurance']",,,"February 27, 2019",Financial services,,www.brookfield.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-asset-20190227.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Capital Asset Management Group, Inc.,",Not Specified,,{'Vermont'},UNK,2019-02-26 00:00:00,,,Financial services,,www.brookfield.com,,https://ago.vermont.gov/blog/2019/02/26/capital-asset-management-group-inc-notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"Capital City Bank Group, Inc.,",2019-01-28 00:00:00,,{'New Hampshire'},"['license', 'name', 'credit card', 'financial', 'email', 'address', 'identification number']",,,"January 28, 2019",Banking,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-city-bank-20190128.pdf,,,6,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Capital City Bank Group, Inc.,",Not Specified,,{'Vermont'},UNK,2019-01-17 00:00:00,,,Banking,,,,https://ago.vermont.gov/blog/2019/01/17/capital-city-bank-group-inc-notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
Capital Digestive Care Data Security Incident To Consumers,Not Specified,,{'Vermont'},UNK,2018-04-23 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/04/23/capital-digestive-care-data-security-incident-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
Capital Digestive Care Llc,2018-02-23 00:00:00,13572.0,{'Indiana'},UNK,2018-04-23,,2018-02-23 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Capital Digestive Care,",2018-04-23 00:00:00,,{'New Hampshire'},"['name', 'credit card', 'payment', 'financial', 'email', 'address', 'insurance']",,,"April 23, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-digestive-care-20180423.pdf,,,5,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Capital Digestive Care,",2018-02-23 00:00:00,3.0,{'Montana'},UNK,,,2/23/2018-2/23/2018,,,,2018-02-23, https://media.dojmt.gov/wp-content/uploads/Capital-Digestive-Care.pdf ,,2018-04-23,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capital First Trust Company,",2017-05-10 00:00:00,,{'New Hampshire'},"['license', 'name', 'credit card', 'financial', 'password', 'email', 'address', 'insurance']",,,"May 10, 2017",Non-bank financial institution,,www.capitalfirst.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-first-trust-20170510.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Capital First Trust Company,",2016-12-01 00:00:00,81.0,{'Indiana'},UNK,2017-05-10,,2016-12-01 00:00:00,Non-bank financial institution,,www.capitalfirst.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Capital First Trust Company,",2017-03-07 00:00:00,16.0,{'Wisconsin'},UNK,2017-05-15 00:00:00,,"March 7, 2017",,,,,,,,7,"{'{""{\'https://datcp.wi.gov/Pages/Programs_Services/DataBreaches.aspx\'}""}'}"
Capital Integration Systems Llc (cais),2018-02-01 00:00:00,1.0,{'Montana'},UNK,,,2/1/2018-3/15/2018,,,,2018-03-15, https://media.dojmt.gov/wp-content/uploads/Capital-Integration-Systems-LLC-CAIS.pdf ,,2018-06-22,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Capital Integration Systems Llc Notice Of Email Phishing,Not Specified,,{'Vermont'},UNK,2018-06-25 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/06/25/capital-integration-systems-llc-notice-of-email-phishing/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"Capital Integration Systems Llc,",2018-06-25 00:00:00,,{'New Hampshire'},"['social security number', 'name', 'credit card', 'financial', 'password', 'email', 'address', 'insurance']",,,"June 25, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-integration-20180625.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Capital Integration Systems Llc,",2018-02-01 00:00:00,2321.0,{'Indiana'},UNK,2018-06-22,,2018-02-01 00:00:00,Advanced TechnologiesInformation SecurityAerospaceDefense,,LockheedMartin.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Capital One 360,2017-01-27 00:00:00,4.0,{'Montana'},UNK,,,1/27/2017-4/20/2017,Financial services,,www.capitalone.com,2017-04-20, https://media.dojmt.gov/wp-content/uploads/Capital-One-2-1.pdf ,,2017-09-12,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Capital One Bank,2017-06-25 00:00:00,4.0,{'Montana'},UNK,,,6/25/2017-2/15/2018,Financial services,,www.capitalone.com,2018-02-15, https://media.dojmt.gov/wp-content/uploads/Capital-One-Bank-1.pdf ,,2019-01-08,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Capital One Bank,2017-11-01 00:00:00,1.0,{'Montana'},UNK,,,11/1/2017-11/30/2017,Financial services,,www.capitalone.com,2017-11-30, https://media.dojmt.gov/wp-content/uploads/Capital-One-Bank.pdf ,,2018-01-10,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Capital One Bank,2017-11-26 00:00:00,7.0,{'Montana'},UNK,,,11/26/2017-3/27/2018,Financial services,,www.capitalone.com,2018-03-27, https://media.dojmt.gov/wp-content/uploads/Capital-One-6.2018-notification.pdf ,,2018-06-19,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capital One,",2010-05-18 00:00:00,,{'New Hampshire'},UNK,,,"May 18, 2010",Financial services,,www.capitalone.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-one-20100518.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Capital One,",2016-05-04 00:00:00,1.0,{'Montana'},UNK,,,5/4/2016-6/12/2017,Financial services,,www.capitalone.com,2017-06-12, https://media.dojmt.gov/wp-content/uploads/Capital-One-3-1.pdf ,,2017-09-22,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capital One,",2016-06-29 00:00:00,1.0,{'Montana'},UNK,,,6/29/2016-7/17/2016,Financial services,,www.capitalone.com,2016-07-17, https://media.dojmt.gov/wp-content/uploads/Capital-One.pdf ,,2016-09-15,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capital One,",2016-09-01 00:00:00,353.0,{'Montana'},UNK,,,9/1/2016-1/9/2017,Financial services,,www.capitalone.com,2017-01-09, https://media.dojmt.gov/wp-content/uploads/Capital-One-3.pdf ,,2017-02-06,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capital One,",2016-09-07 00:00:00,1.0,{'Montana'},UNK,,,9/7/2016-12/28/2016,Financial services,,www.capitalone.com,2016-12-28, https://media.dojmt.gov/wp-content/uploads/Nova-Southeastern-University.pdf ,,2017-05-01,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capital One,",2016-11-16 00:00:00,1.0,{'Montana'},UNK,,,11/16/2016-12/22/2016,Financial services,,www.capitalone.com,2016-12-22, https://media.dojmt.gov/wp-content/uploads/Capital-One-2.pdf ,,2017-01-26,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capital One,",2017-01-27 00:00:00,4.0,"{'California', 'Montana'}",UNK,,,1/27/2017-4/20/2017,Financial services,,www.capitalone.com,2017-04-20, https://media.dojmt.gov/wp-content/uploads/Capital-One-1.pdf ,,2017-07-31,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\', ""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capital One,",2018-06-09 00:00:00,8.0,{'Montana'},UNK,,,6/9/2018-7/23/2018,Financial services,,www.capitalone.com,2018-07-23, https://media.dojmt.gov/wp-content/uploads/Capital-One-5.pdf ,,2018-10-25,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capital One,",2018-07-07 00:00:00,8.0,{'Montana'},UNK,,,7/7/2018-11/8/2018,Financial services,,www.capitalone.com,2018-11-08, https://media.dojmt.gov/wp-content/uploads/Capital-One-Consumer.pdf ,,2019-02-07,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Capitol Administrators, Inc",2018-01-07 00:00:00,,{'California'},UNK,,,"01/07/2018, 01/24/2018",,,,2018-01-24,https://oag.ca.gov/ecrime/databreach/reports/sb24-136119,,2018-05-11,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Capitol Law Group, Pllc",2018-04-08 00:00:00,1.0,{'Montana'},UNK,,,4/8/2018-5/13/2018,,,,2018-05-13, https://media.dojmt.gov/wp-content/uploads/Capitol-Law-Group-PLLC.pdf ,,2018-12-20,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Cardinal Health,",2010-09-07 00:00:00,,{'New Hampshire'},UNK,,,"September 07, 2010",Pharmaceuticals,,Cardinalhealth.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/cardinal-health-20100907.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
